# --*-- shell --*--
#
# This file represents a map between shared libraries and packages
# in XBPS. Every shared library installed by a package must be
# listed here and mapped to a binary package.
#
##########################################################################
# SHLIB				BINPKG			BINPKG-DEVEL
##########################################################################
libc.so				glibc			glibc-devel
libm.so				glibc			glibc-devel
libpthread.so			glibc			glibc-devel
librt.so			glibc			glibc-devel
libdl.so			glibc			glibc-devel
ld-linux-x86-64.so		glibc			glibc-devel
ld-linux.so			glibc			glibc-devel
libresolv.so			glibc			glibc-devel
libanl.so			glibc			glibc-devel
libthread_db.so			glibc			glibc-devel
libutil.so			glibc			glibc-devel
libnsl.so			glibc			glibc-devel
libcrypt.so			glibc			glibc-devel
libBrokenLocale.so		glibc			glibc-devel
libpcprofile.so			glibc			glibc-devel
libmemusage.so			glibc			glibc-devel
libSegFault.so			glibc			glibc-devel
libz.so				zlib			zlib-devel
libbz2.so			bzip2			bzip2-devel
libarchive.so			libarchive		libarchive-devel
libgcc_s.so			libgcc
libmp.so			gmp			gmp-devel
libgmp.so			gmp			gmp-devel
libgmpxx.so			gmp			gmp-devel
libmpfr.so			mpfr			mpfr-devel
libpwl.so			ppl			ppl-devel
libppl.so			ppl			ppl-devel
libppl_c.so			ppl			ppl-devel
libstdc++.so			libstdc++		libstdc++-devel
libssp.so			libssp			libssp-devel
libncurses.so			ncurses-libs		ncurses-devel
libform.so			ncurses-libs		ncurses-devel
libpanel.so			ncurses-libs		ncurses-devel
libmenu.so			ncurses-libs		ncurses-devel
libncursesw.so			ncursesw		ncursesw-devel
libformw.so			ncursesw		ncursesw-devel
libpanelw.so			ncursesw		ncursesw-devel
libmenuw.so			ncursesw		ncursesw-devel
libobjc.so			libobjc			libobjc-devel
libmudflap.so			libmudflap		libmudflap-devel
libmudflapth.so			libmudflap		libmudflap-devel
libgomp.so			libgomp			libgomp
libmagic.so			file			file-devel
libcloog.so			cloog-ppl		cloog-ppl-devel
libbluetooth.so			libbluetooth		libbluetooth-devel
libwmf-0.2.so			libwmf			libwmf-devel
libwmflite-0.2.so		libwmf			libwmf-devel
libgthread-2.0.so		glib			glib-devel
libglib-2.0.so			glib			glib-devel
libgmodule-2.0.so		glib			glib-devel
libgio-2.0.so			glib			glib-devel
libgobject-2.0.so		glib			glib-devel
libatk-1.0.so			atk			atk-devel
libpangocairo-1.0.so		pango			pango-devel
libpangoft2-1.0.so		pango			pango-devel
libpangoxft-1.0.so		pango			pango-devel
libpangox-1.0.so		pango			pango-devel
libpango-1.0.so			pango			pango-devel
libcairo.so			cairo			cairo-devel
libgdk-x11-2.0.so		gtk+			gtk+-devel
libgdk_pixbuf-2.0.so		gtk+			gtk+-devel
libgtk-x11-2.0.so		gtk+			gtk+-devel
libgdk_pixbuf_xlib-2.0.so	gtk+			gtk+-devel
libgailutil.so			gtk+			gtk+-devel
libfreetype.so			freetype		freetype-devel
libfontconfig.so		fontconfig		fontconfig-devel
